Kabupaten,Tahun,IPM,Guru-Siswa (SMA),Sekolah-Siswa (SMA),Akses_Air_Bersih,Jumlah_Sarana_Kesehatan,Kepadatan_Penduduk,Tingkat_Pengangguran_Terbuka,PDRB_Perkapita
Kabupaten Bangkalan,2021,64.36,68.00,222.65,90.38,137,1071712,8.07,23014
Kabupaten Banyuwangi,2021,71.38,70.00,399.45,94.03,302,1718462,5.42,49996
Kabupaten Blitar,2021,71.05,68.00,506.75,94.99,34,1231013,3.66,30722
Kabupaten Bojonegoro,2021,69.59,67.00,386.33,92.71,208,1307602,4.82,63811
Kabupaten Bondowoso,2021,66.59,68.00,217.85,96.49,48,778525,4.46,27041
Kabupaten Gresik,2021,76.5,70.00,351.85,98.18,220,1320570,8,109373
Kabupaten Jember,2021,67.32,67.00,274.91,93.12,129,2550360,5.44,31787
Kabupaten Jombang,2021,73.45,67.00,438.96,97.19,316,1325914,7.09,31486
Kabupaten Kediri,2021,72.56,69.00,0.47,92.98,364,1644400,5.15,25961
Kabupaten Lamongan,2021,73.12,70.00,246.79,94.01,249,1356027,4.9,30267
Kabupaten Lumajang,2021,66.07,67.00,358.56,97.42,293,1127094,3.51,29881
Kabupaten Madiun,2021,71.88,68.00,453.31,99.85,101,750143,4.99,26342
Kabupaten Magetan,2021,74.15,67.00,407.00,84.31,294,674133,3.86,29056
Kabupaten Malang,2021,70.6,66.00,356.06,93.98,154,2668296,5.4,40114
Kabupaten Mojokerto,2021,74.15,70.00,391.33,96.28,162,1125522,5.54,77530
Kabupaten Nganjuk,2021,71.97,68.00,406.25,99.87,64,1109683,4.98,25280
Kabupaten Ngawi,2021,71.04,68.00,450.22,98.96,180,873346,4.25,23833
Kabupaten Pacitan,2021,68.57,69.00,366.06,98,393,589108,2.04,27807
Kabupaten Pamekasan,2021,66.4,65.00,133.99,99.26,164,853507,3.1,20690
Kabupaten Pasuruan,2021,68.93,69.00,424.88,98.87,209,1611805,6.03,97500
Kabupaten Ponorogo,2021,71.06,70.00,416.31,98.08,46,955839,4.38,22336
Kabupaten Probolinggo,2021,66.26,66.00,216.47,97.34,200,1155894,4.55,30803
Kabupaten Sampang,2021,62.8,67.00,126.20,95.72,178,976020,3.45,21097
Kabupaten Sidoarjo,2021,80.65,70.00,485.86,77.72,125,2091930,10.87,100694
Kabupaten Situbondo,2021,67.78,65.00,269.83,84.03,117,688337,3.68,30800
Kabupaten Sumenep,2021,67.04,66.00,99.19,93.14,217,1129822,2.31,31145
Kabupaten Trenggalek,2021,70.06,70.00,386.64,99.55,53,734888,3.53,26124
Kabupaten Tuban,2021,68.91,66.00,430.16,93.02,188,1203127,4.68,54775
Kabupaten Tulungagung,2021,73.15,68.00,709.06,89.59,182,1096588,4.91,36629
Kota Batu,2021,76.28,66.00,375.62,99.85,53,214653,6.57,78458
Kota Blitar,2021,78.98,69.00,665.29,82.71,116,150371,6.61,47307
Kota Kediri,2021,78.6,67.00,660.21,97.55,395,287962,6.37,491270
Kota Madiun,2021,81.25,70.00,294.41,96.28,113,196917,8.15,74650
Kota Malang,2021,82.04,70.00,589.80,95.19,140,844933,9.65,90679
Kota Mojokerto,2021,78.43,65.00,578.18,97.65,434,133272,6.87,52041
Kota Pasuruan,2021,75.62,67.00,467.07,80.53,154,209528,6.23,40525
Kota Probolinggo,2021,73.66,65.00,418.45,96.02,176,241202,6.55,48507
Kota Surabaya,2021,82.31,70.00,554.30,97.65,248,2880284,9.68,204920
Kabupaten Bangkalan,2020,64.11,41,220.66,92.83,149,1060377,8.77,22038
Kabupaten Banyuwangi,2020,70.62,40,408.27,95.04,296,1708114,5.34,47567
Kabupaten Blitar,2020,70.58,44,499.19,99.16,33,1223745,3.82,29490
Kabupaten Bojonegoro,2020,69.04,40,387.79,91.73,189,1301635,4.92,54048
Kabupaten Bondowoso,2020,66.43,35,224.74,96.69,46,776151,4.13,25706
Kabupaten Gresik,2020,76.11,44,353.80,92.9,195,1311215,8.21,102623
Kabupaten Jember,2020,67.11,49,277.69,93.76,122,2536729,5.12,30023
Kabupaten Jombang,2020,72.97,37,442.43,89.27,282,1318062,7.48,30303
Kabupaten Kediri,2020,72.05,58,462.96,91.85,340,1635294,5.24,24885
Kabupaten Lamongan,2020,72.58,32,251.20,97.35,227,1344165,5.13,29221
Kabupaten Lumajang,2020,65.46,41,366.10,95.7,274,1119251,3.36,28707
Kabupaten Madiun,2020,71.73,53,438.00,99.08,108,744350,4.8,25475
Kabupaten Magetan,2020,73.92,45,389.21,83.26,304,670812,3.74,28024
Kabupaten Malang,2020,70.36,42,358.59,95.18,140,2654448,5.49,38495
Kabupaten Mojokerto,2020,73.83,42,389.95,95.43,158,1119209,5.75,73335
Kabupaten Nganjuk,2020,71.72,45,403.24,98.87,64,1103902,4.8,24134
Kabupaten Ngawi,2020,70.54,43,454.68,98.78,163,870057,5.44,23323
Kabupaten Pacitan,2020,68.39,40,366.55,94.56,365,586110,2.28,26972
Kabupaten Pamekasan,2020,66.26,31,143.12,98.36,159,850057,3.49,19779
Kabupaten Pasuruan,2020,68.6,35,430.75,97.02,200,1605969,6.24,90747
Kabupaten Ponorogo,2020,70.81,39,411.40,96.95,54,949318,4.45,21654
Kabupaten Probolinggo,2020,66.07,36,221.04,94.37,199,1152537,4.86,29280
Kabupaten Sampang,2020,62.7,29,130.45,96.75,168,969694,3.35,20503
Kabupaten Sidoarjo,2020,80.29,46,490.73,81.57,121,2082801,10.97,94818
Kabupaten Situbondo,2020,67.38,42,287.47,83.46,105,685967,3.85,29244
Kabupaten Sumenep,2020,66.43,27,107.58,95.87,209,1124436,2.84,29166
Kabupaten Trenggalek,2020,69.74,39,377.43,100,58,731125,4.11,25087
Kabupaten Tuban,2020,68.4,52,429.95,92.57,170,1198012,4.81,52085
Kabupaten Tulungagung,2020,73,39,703.14,90.92,174,1089775,4.61,35143
Kota Batu,2020,75.9,47,380.08,100,51,213046,5.93,74884
Kota Blitar,2020,78.57,39,680.82,87.06,111,149149,6.68,45090
Kota Kediri,2020,78.23,40,704.09,94.86,391,286796,6.21,462199
Kota Madiun,2020,80.91,47,296.79,95.37,114,195175,8.32,70745
Kota Malang,2020,81.45,37,593.11,96.58,135,843810,9.61,85540
Kota Mojokerto,2020,78.04,38,608.73,96.36,432,132434,6.74,49840
Kota Pasuruan,2020,75.26,47,494.86,73.19,147,208006,6.33,38774
Kota Probolinggo,2020,73.27,42,430.45,97.16,149,239649,6.7,46302
Kota Surabaya,2020,82.23,41,565.08,98.89,244,2874314,9.79,193010
Kabupaten Bangkalan,2019,63.79,19,221.97,85.06,120,986672,5.62,24978
Kabupaten Banyuwangi,2019,70.6,15,723.55,93.46,144,1613991,3.95,51788
Kabupaten Blitar,2019,70.57,16,742.55,99.01,276,1160677,3.05,31388
Kabupaten Bojonegoro,2019,68.75,17,468.60,91.11,33,1249692,3.56,62446
Kabupaten Bondowoso,2019,66.09,16,434.41,94.88,186,775715,2.86,25584
Kabupaten Gresik,2019,76.1,17,415.48,98.42,46,1312881,5.4,105676
Kabupaten Jember,2019,66.69,20,765.81,92.82,198,2450668,3.69,31498
Kabupaten Jombang,2019,72.85,18,642.98,93.88,118,1263814,4.28,32005
Kabupaten Kediri,2019,71.85,18,873.79,91.58,267,1574272,3.58,26152
Kabupaten Lamongan,2019,72.57,14,277.96,98.79,342,1189106,3.89,33109
Kabupaten Lumajang,2019,65.33,17,437.58,95.75,223,1042395,2.73,31293
Kabupaten Madiun,2019,71.69,16,1012.15,97.53,270,682684,3.52,27724
Kabupaten Magetan,2019,73.49,15,852.60,88.78,94,628977,2.98,29746
Kabupaten Malang,2019,70.35,16,726.51,97.63,276,2606204,3.7,39780
Kabupaten Mojokerto,2019,73.53,17,609.03,95.8,135,1117688,3.61,73651
Kabupaten Nganjuk,2019,71.71,15,855.25,97.78,145,1054611,3.16,25269
Kabupaten Ngawi,2019,70.41,19,931.35,99.19,62,830108,3.6,24408
Kabupaten Pacitan,2019,68.16,15,1127.70,96.23,155,555304,0.91,28734
Kabupaten Pamekasan,2019,65.94,14,188.46,99.9,332,879992,2.26,19331
Kabupaten Pasuruan,2019,68.29,16,693.07,97.4,162,1627396,5.22,89581
Kabupaten Ponorogo,2019,70.56,15,648.78,98.29,187,871370,3.5,23423
Kabupaten Probolinggo,2019,65.6,16,166.73,98.08,49,1168503,3.77,29094
Kabupaten Sampang,2019,61.94,14,131.34,95.61,188,978875,2.71,20191
Kabupaten Sidoarjo,2019,80.05,20,596.37,76.55,161,2249476,4.62,90618
Kabupaten Situbondo,2019,67.09,19,756.47,80.83,94,682978,2.77,29578
Kabupaten Sumenep,2019,66.22,13,81.77,96.53,210,1088910,2.08,30569
Kabupaten Trenggalek,2019,69.46,16,846.00,99.35,60,696295,3.36,26634
Kabupaten Tuban,2019,68.37,14,502.97,94.15,166,1172790,2.7,55401
Kabupaten Tulungagung,2019,72.62,15,1016.21,94.94,171,1039284,3.29,37725
Kota Batu,2019,75.88,15,390.83,100,49,207490,2.42,81461
Kota Blitar,2019,78.56,14,1004.18,75.62,105,141876,4.54,47841
Kota Kediri,2019,78.08,18,764.90,96.57,349,287409,4.15,483982
Kota Madiun,2019,80.88,14,707.17,94.23,99,177007,3.96,79654
Kota Malang,2019,81.32,16,666.36,94.03,131,870682,5.88,83528
Kota Mojokerto,2019,77.96,16,569.18,95.43,404,129014,2.63,52536
Kota Pasuruan,2019,75.25,15,575.73,68.59,140,200422,4.89,41325
Kota Probolinggo,2019,73.27,16,684.17,96.79,145,237208,4.25,47804
Kota Surabaya,2019,82.22,18,416.48,98.4,253,2896195,5.76,200359
